1|NI|800176807|2020-01-01|2020-03-31|12|10
2|1|5200100669|1|2|CM|02|1A101267|1000|100|57642|1|A|14000|14000|70000|5|123451|123451
2|2|5200100669|1|2|CM|02|1H102210|1000|100|9813|3|A|15000|15000|150000|10|4562342|4562342
2|3|5200100669|1|2|CM|04|1R100679|1000|100|17346|1|A|10000|10000|100000|10|123456789|123456789
2|4|5200100669|1|2|CM|04|1A101267|1000|100|19914092|1|B|5000|70000|1475000|35|123456789|12312
2|5|5200100669|1|2|VN|03|1A101267|1000|103|2202|1|A|20000|20000|300000|15|123456|123456
2|6|5200100669|1|2|VN|03|1D100430|1000|101|7028|2|A|20000|20000|500000|25|123456|123456
2|7|5200100669|1|2|VN|04|1A101267|1000|100|57642|2|A|1500|1500|7500|5|1234321|1234321
2|8|5200100669|2|2|CM|04|1A101267|1000|100|19914092|1|B|12000|12000|120000|10|123122|123122
2|9|5200100669|2|2|CM|04||||19942548|1|A|20000|20000|200000|10|2901|2901
2|10|5200100669|2|2|VN|01||||1010125|2|A|10000|10000|10000|1|123456|123456
2|11|5200100669|3|2|CM|04|1A101268|1000|100|||A|50000|50000|200000|4|369|369
2|12|5200100669|3|2|CM|04|1A101269|1000|100|||A|60000|60000|300000|5|258|258
